f,propuestas,votos,comentarios
Sarrià - Sant Gervasi---Economía plural---Desarrollo y economía de proximidad---organización,1,2,0
Sarrià - Sant Gervasi---Economía plural---Economía cooperativa social y solidaria---encuentro,3,10,0
Sarrià - Sant Gervasi---Economía plural---Economía cooperativa social y solidaria---oficial,1,11,0
Sarrià - Sant Gervasi---Economía plural---Empleo de calidad---encuentro,1,4,0
Sarrià - Sant Gervasi---Economía plural---Empleo de calidad---oficial,1,17,1
Sarrià - Sant Gervasi---Economía plural---Turismo sostenible---encuentro,2,2,0
Sarrià - Sant Gervasi---Economía plural---Turismo sostenible---oficial,2,30,3
Sarrià - Sant Gervasi---Economía plural---Un nuevo liderazgo público---oficial,1,24,2
Sarrià - Sant Gervasi---Justicia global---Ciudad de acogida---encuentro,3,20,7
Sarrià - Sant Gervasi---Justicia global---Ciudad de acogida---oficial,1,23,0
Sarrià - Sant Gervasi---Justicia global---Justicia global---encuentro,1,5,2
Sarrià - Sant Gervasi---Justicia global---Justicia global---oficial,1,7,0
Sarrià - Sant Gervasi---Transición ecológica---Energía y cambio climático---ciudadano,4,81,5
Sarrià - Sant Gervasi---Transición ecológica---Energía y cambio climático---encuentro,3,14,5
Sarrià - Sant Gervasi---Transición ecológica---Energía y cambio climático---oficial,5,210,9
Sarrià - Sant Gervasi---Transición ecológica---Medio ambiente y espacio público---ciudadano,11,72,10
Sarrià - Sant Gervasi---Transición ecológica---Medio ambiente y espacio público---encuentro,9,39,17
Sarrià - Sant Gervasi---Transición ecológica---Medio ambiente y espacio público---oficial,9,366,16
Sarrià - Sant Gervasi---Transición ecológica---Medio ambiente y espacio público---organización,5,119,1
Sarrià - Sant Gervasi---Transición ecológica---Movilidad sostenible---ciudadano,38,411,74
Sarrià - Sant Gervasi---Transición ecológica---Movilidad sostenible---encuentro,37,290,49
Sarrià - Sant Gervasi---Transición ecológica---Movilidad sostenible---oficial,6,383,25
Sarrià - Sant Gervasi---Transición ecológica---Movilidad sostenible---organización,8,337,20
Sarrià - Sant Gervasi---Transición ecológica---Urbanismo para los barrios---ciudadano,48,493,75
Sarrià - Sant Gervasi---Transición ecológica---Urbanismo para los barrios---encuentro,9,35,17
Sarrià - Sant Gervasi---Transición ecológica---Urbanismo para los barrios---oficial,1,32,0
Sarrià - Sant Gervasi---Transición ecológica---Urbanismo para los barrios---organización,7,260,32
Sarrià - Sant Gervasi---Transición ecológica---Verde urbano y biodiversidad---ciudadano,8,165,8
Sarrià - Sant Gervasi---Transición ecológica---Verde urbano y biodiversidad---encuentro,16,52,25
Sarrià - Sant Gervasi---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---ciudadano,8,50,5
Sarrià - Sant Gervasi---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---encuentro,5,28,3
Sarrià - Sant Gervasi---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---oficial,2,60,1
Sarrià - Sant Gervasi---Vivir Bien---Autonomía personal y reconocimiento de los cuidados---organización,1,7,0
Sarrià - Sant Gervasi---Vivir Bien---Ciclos de vida---ciudadano,4,24,2
Sarrià - Sant Gervasi---Vivir Bien---Ciclos de vida---encuentro,10,77,11
Sarrià - Sant Gervasi---Vivir Bien---Ciclos de vida---oficial,9,160,15
Sarrià - Sant Gervasi---Vivir Bien---Convivencia y seguridad---ciudadano,6,81,14
Sarrià - Sant Gervasi---Vivir Bien---Convivencia y seguridad---encuentro,12,38,4
Sarrià - Sant Gervasi---Vivir Bien---Convivencia y seguridad---oficial,4,78,19
Sarrià - Sant Gervasi---Vivir Bien---Convivencia y seguridad---organización,2,6,0
Sarrià - Sant Gervasi---Vivir Bien---Cultura---ciudadano,5,62,5
Sarrià - Sant Gervasi---Vivir Bien---Cultura---encuentro,3,10,0
Sarrià - Sant Gervasi---Vivir Bien---Cultura---oficial,10,542,25
Sarrià - Sant Gervasi---Vivir Bien---Cultura---organización,5,85,3
Sarrià - Sant Gervasi---Vivir Bien---Deportes---ciudadano,3,30,3
Sarrià - Sant Gervasi---Vivir Bien---Deportes---encuentro,2,25,1
Sarrià - Sant Gervasi---Vivir Bien---Deportes---oficial,2,21,2
Sarrià - Sant Gervasi---Vivir Bien---Educación y conocimiento---ciudadano,6,128,14
Sarrià - Sant Gervasi---Vivir Bien---Educación y conocimiento---encuentro,15,39,11
Sarrià - Sant Gervasi---Vivir Bien---Educación y conocimiento---oficial,4,104,0
Sarrià - Sant Gervasi---Vivir Bien---Educación y conocimiento---organización,1,58,4
Sarrià - Sant Gervasi---Vivir Bien---Equidad de género y diversidad sexual---encuentro,1,2,0
Sarrià - Sant Gervasi---Vivir Bien---Equidad de género y diversidad sexual---oficial,11,248,3
Sarrià - Sant Gervasi---Vivir Bien---Justicia social---encuentro,5,25,2
Sarrià - Sant Gervasi---Vivir Bien---Justicia social---oficial,4,505,11
Sarrià - Sant Gervasi---Vivir Bien---Migración interculturalidad y discriminación cero---encuentro,1,10,1
Sarrià - Sant Gervasi---Vivir Bien---Migración interculturalidad y discriminación cero---oficial,3,42,2
Sarrià - Sant Gervasi---Vivir Bien---Sanidad y salud---encuentro,12,155,11
Sarrià - Sant Gervasi---Vivir Bien---Sanidad y salud---oficial,2,34,6
Sarrià - Sant Gervasi---Vivir Bien---Sanidad y salud---organización,1,9,0
Sarrià - Sant Gervasi---Vivir Bien---Vivienda---ciudadano,1,4,2
Sarrià - Sant Gervasi---Vivir Bien---Vivienda---encuentro,7,49,9
Sarrià - Sant Gervasi---Vivir Bien---Vivienda---oficial,1,24,2
